JOB_TITLE,COMPANY_NAME,JOB_SALARY,SKILLS
Backend Engineer,Prospa,$60k - $90k,"['Python', 'API', 'Django', 'Celery']"
Senior Developer ,Metropolis World Ltd,$70k - $150k,"['React', 'MongoDB', 'Python', 'Node.js']"
AWS Java Developer,Xllow,Not found,"['Spring Boot', 'AWS (Amazon Web Services)', 'Dynamodb', 'Jenkins']"
Senior Cloud Infrastructure Engineer (Remote),Fingerprint,$90k - $120k,"['Infrastructure', 'Cloud', 'Terraform', 'Code reviewers']"
Senior Backend Engineer (AWS),Fingerprint,$100k - $130k,"['TypeScript', 'AWS Lambda', 'Dynamodb', 'Rest API']"
Mobile Engineer,Prospa,$60k - $80k,"['React Native', 'iOS', 'Android', 'JavaScript']"
Sr Software Developer (Remote),Carbide,$120k - $140k,"['Ruby', 'Ruby on Rails', 'AWS (Amazon Web Services)', 'PostgreSQL']"
senior java developer,Open Education LLC,$70k - $80k,"['AWS (Amazon Web Services)', 'Java', 'Spring', 'Spring Boot']"
Full Stack developer,Getable,$70k - $110k,"['PHP', 'SQL', 'HTML/CSS', 'JavaScript']"
Full-Stack Developer (Rails) FT Freelance- Worldwide,the services co,Not found,"['Ruby on Rails', 'jQuery', 'HTML', 'PostgreSQL']"
"Fullstack Developer - (Node.js, Docker, Typescript, Linux) - FT Freelance - Worldwide",Your Ortho Coach,Not found,"['Node.js', 'TypeScript', 'API', 'PostgreSQL']"
Senior Frontend Engineer,Fingerprint,$100k - $130k,"['Ajax', 'Http', 'TypeScript', 'Jasmine']"
Back End developer,Void,$50k - $75k,"['Node.js', 'TypeScript', 'API', 'Github']"
Game Dev Consultant and App Developer,Arc Exclusive,Not found,"['MySQL', 'PHP', 'Laravel', 'TypeScript']"
Software engineer,Stimulus,$120k - $150k,"['Docker', 'Next.js', 'TypeScript', 'React']"
Back-End Engineer,Arc Exclusive,Not found,"['Python', 'Django', 'MySQL', 'Java']"
Frontend Engineer,Prospa,$50k - $80k,"['TypeScript', 'JavaScript', 'HTML', 'Redux']"
eCommerce Platform ,EZ Contacts,$40k - $50k,"['Next.js', 'Node.js', 'HTML', 'CSS']"
Front-End Developer (Javascript/HTML_CSS) FT Freelance - Worlwide,Montauk Labs,Not found,"['HTML/CSS', 'JavaScript', 'React', 'Material ui']"
Trading app developer ,Arc Exclusive,Not found,"['Node.js', 'MySQL', 'MongoDB', 'Trading']"
"Front-End Developer (Javascript, React) FT - EU (Sweden preferred)",Beacon,$60k - $80k,"['React', 'JavaScript', 'C++', 'Game']"
Back End developer,Instill AI,$60k - $80k,"['Amazon web services', 'Python', 'SQL', 'NoSQL']"
Front End developer,Instill AI,$60k - $80k,"['React', 'TypeScript', 'CSS', 'Next.js']"
"Full stack developer(React Native, Firebase) - FT - Freelance - Worldwide",Naby Ltd,Not found,"['Firebase', 'React Native', 'Payment', 'Stripe']"
Senior React Front End Engineer,Fingerprint,$100k - $130k,"['Rest API', 'GraphQL', 'Accessibility', 'TypeScript']"
Full Stack Developer to expand our SaaS Product,TinyURL LLC,Not found,"['Laravel', 'Vue.js', 'PHP', 'Elasticsearch']"
Full Stack developer,Sharp Payments,$50k - $100k,"['React', 'Java', 'JavaScript', 'Node.js']"
Spree3D - 3D Software Engineer (C++) - PT/FT Freelance - Pacific Time,Spree3D,Not found,"['3d', 'Python', 'C++', 'Maya']"
WEB maintenance and developer for Very large website ,Arc Exclusive,Not found,"['WordPress', 'PHP', 'WordPress Plugin', 'WordPress Theme']"
Blockchain Solidity Developer,PolyOne,Not found,"['Solidity', 'Node.js', 'React', 'JavaScript']"
Data Migration Engineer,MetroSys,Not found,"['Linux', 'UNIX', 'UX', 'Database']"
Front End Engineer,Optimum Technologies,Not found,"['C#', 'Mvvm', 'SQL', 'Database']"
Python Developer [Job ID 20221216],Phoenix Cyber,Not found,"['Python', 'Kubernetes', 'Git', 'Continuous integration']"
Cybersecurity Engineer (SOAR) [JOB ID 20221216],Phoenix Cyber,Not found,"['Security software', 'Kubernetes', 'Python', 'Bash']"
Customer Support Engineer II,Identity Automation,Not found,"['Linux', 'Bash', 'PowerShell', 'Security software']"
"Senior Software Engineer, Big Data",Viant Technology,Not found,"['Java', 'Go/golang', 'JavaScript', 'jQuery']"
Jr. Data Analyst,Laboratoria,Not found,"['SQL', 'Git']"
Power BI Developer,Esolvit,Not found,"['Power BI', 'SQL', 'SQL Server', 'Scss (sassy css)']"
Electrical Controls Project Engineer,Campbell Soup,Not found,"['QA (Quality Assurance)', 'Microsoft excel']"
Software Developer / Application Developer,Leidos,Not found,"['Subversion', 'JavaScript', 'Java', 'Node.js']"
iOS Developer,Gozio,Not found,"['iOS', 'Swift', 'QA (Quality Assurance)', 'Uikit']"
Intelligence Analyst (Chinese Language ),Leidos,Not found,['Python']
Senior Data Engineer,Pingboard,Not found,"['Python', 'Java', 'Scala', 'AWS (Amazon Web Services)']"
Software Engineer (Frontend),The Davey Tree Expert Company,Not found,"['MongoDB', 'React']"
"Data Engineer, Analytics (Generalist)",Meta,Not found,"['SQL', 'Security software', 'Data Modelling', 'Python']"
Manager Software Engineering,Home Chef,Not found,"['JavaScript', 'React', 'Ruby on Rails', 'Ruby']"
TeamCenter Developer,HCL,Not found,"['Windows Application', 'HTML', 'XML', 'C++']"
Cyber Software Engineer [JOB ID 20221216],Phoenix Cyber,Not found,"['Security software', 'Kubernetes', 'Python', 'Bash']"
Software Developer [JOB ID 20221216],Phoenix Cyber,Not found,"['Security software', 'Kubernetes', 'Python', 'Bash']"
Software Engineer,NetForecast,Not found,"['AWS (Amazon Web Services)', 'Amazon ec2', 'JavaScript', 'Node.js']"
Frontend Developer,Playtech,Not found,"['JavaScript', 'React', 'Vue.js', 'TypeScript']"
Customer Support Engineer,Confident Cannabis,Not found,"['JavaScript', 'CSS', 'Node.js', 'HTML']"
Senior Backend Engineer,TheyDo,Not found,"['Microservices', 'Application architecture', 'Node.js', 'PostgreSQL']"
Full Stack Developer,NewWave Telecom & Technologies,Not found,"['Es6', 'TypeScript', 'Node.js', 'React']"
Senior Software Engineer,Guided Clinical Solutions,Not found,"['JavaScript', 'React', 'Java', 'AWS (Amazon Web Services)']"
UI Developer/Elixir,Brilliant Infotech,Not found,"['Elixir', 'Git', 'JavaScript', 'CSS']"
EndPoint Engineer,MBL Technologies,Not found,"['Network', 'Security software']"
DevOps Engineer,"Sigma Defense [SOLUTE, SUB U Systems]",Not found,"['Ansible', 'Terraform', 'Linux', 'Kubernetes']"
Full Stack Developer (Angular and .NET),Port Technology Services,Not found,"['Angular', 'UX', 'SQL', 'Database']"
Senior Principal Software Engineer,Veritas Technologies,Not found,"['Linux', 'UNIX', 'Continuous integration', 'Jenkins']"
